"","NZDT","Serial.Number","GPS.Heading","GPS.Speed","Heading","Latitude","Longitude","corrected_Heading","variation"
"185",2020-10-16 17:23:25,"002-0009-00281",3,1.695091599,343.9909996,-37.5558542,175.4591289,343.9909996,19.0090004
"186",2020-10-16 17:23:24,"002-0009-00281",4,0.862940805,347.5021431,-37.5558693,175.4591263,347.5021431,16.4978569
"187",2020-10-16 17:23:22,"002-0009-00281",5,0.870100861,344.8350719,-37.5558848,175.4591254,344.8350719,20.1649281
"188",2020-10-16 17:23:20,"002-0009-00281",3,1.226090245,340.8284681,-37.5559004,175.4591239,340.8284681,22.1715319
"189",2020-10-16 17:23:19,"002-0009-00281",4,1.723851276,346.7265479,-37.5559114,175.459123,346.7265479,17.2734521
"190",2020-10-16 17:23:18,"002-0009-00281",0,1.1345443,336.1956576,-37.5559268,175.4591208,336.1956576,23.8043424
"191",2020-10-16 17:23:17,"002-0009-00281",356,1.651488154,335.2286094,-37.555937,175.4591208,335.2286094,20.7713906
"192",2020-10-16 17:23:16,"002-0009-00281",358,0.546463692,340.4071352,-37.5559518,175.4591223,340.4071352,17.5928648
"193",2020-10-16 17:23:14,"002-0009-00281",2,1.715673896,348.4041865,-37.5559616,175.4591232,348.4041865,13.5958135
"194",2020-10-16 17:23:13,"002-0009-00281",358,1.693463849,334.824086,-37.555977,175.4591221,334.824086,23.175914
"195",2020-10-16 17:23:12,"002-0009-00281",357,1.035784831,335.6943411,-37.5559922,175.4591232,335.6943411,21.3056589
"196",2020-10-16 17:23:11,"002-0009-00281",359,0.828767442,339.4013652,-37.5560015,175.4591238,339.4013652,19.5986348
"197",2020-10-16 17:23:09,"002-0009-00281",0,1.10149194,341.5909841,-37.5560164,175.4591241,341.5909841,18.4090159
"198",2020-10-16 17:23:08,"002-0009-00281",359,1.701907505,342.651021,-37.5560263,175.4591238,342.651021,16.348979
"199",2020-10-16 17:23:07,"002-0009-00281",359,0.923302029,340.7180083,-37.5560416,175.459124,340.7180083,18.2819917
"200",2020-10-16 17:23:05,"002-0009-00281",2,1.169537518,344.1009019,-37.5560582,175.4591237,344.1009019,17.8990981
"201",2020-10-16 17:23:04,"002-0009-00281",0,1.813067649,347.639094,-37.5560687,175.459123,347.639094,12.360906
"202",2020-10-16 17:23:03,"002-0009-00281",6,0.565576924,344.4595752,-37.556085,175.4591231,344.4595752,21.5404248
"203",2020-10-16 17:23:01,"002-0009-00281",6,1.729805404,351.4057564,-37.5560951,175.4591216,351.4057564,14.5942436
"204",2020-10-16 17:23:00,"002-0009-00281",11,0.74376436,349.0253676,-37.5561106,175.45912,349.0253676,21.9746324
"205",2020-10-16 17:22:58,"002-0009-00281",15,0.867153692,335.8046511,-37.5561237,175.4591166,335.8046511,39.1953489
"206",2020-10-16 17:22:57,"002-0009-00281",9,1.535601949,352.828199,-37.5561311,175.4591135,352.828199,16.171801
"207",2020-10-16 17:22:56,"002-0009-00281",11,0.540591796,356.6198794,-37.5561447,175.4591105,356.6198794,14.3801206
"208",2020-10-16 17:22:54,"002-0009-00281",6,1.744093268,353.6731541,-37.5561542,175.4591079,353.6731541,12.3268459
"209",2020-10-16 17:22:53,"002-0009-00281",11,1.724969903,352.5399988,-37.5561698,175.4591059,352.5399988,18.4600012
"210",2020-10-16 17:22:52,"002-0009-00281",9,1.216791015,348.6621349,-37.5561851,175.4591027,348.6621349,20.3378651
"211",2020-10-16 17:22:51,"002-0009-00281",9,1.218222913,354.6112932,-37.5561959,175.4591005,354.6112932,14.3887068
"212",2020-10-16 17:22:50,"002-0009-00281",5,1.185458969,347.8490505,-37.5562067,175.4590982,347.8490505,17.1509495
"213",2020-10-16 17:22:49,"002-0009-00281",4,1.964776144,351.5204365,-37.5562173,175.4590968,351.5204365,12.4795635
"214",2020-10-16 17:22:48,"002-0009-00281",4,1.214448512,352.0191753,-37.5562349,175.4590949,352.0191753,11.9808247
